key,cites,id_scholar
sreeramareddy2019,7,970644293370260104
sternbach2022a,10,16378658131296010979
strumpf2017,133,3100657751077573868
strumpf2017a,90,6630768983318487775
toporowski2012,14,982356061346955257
windle2022,62,5890968779785642985
yang2010,159,17283620681287549232
yang2012,59,10713459141907614351
young2013,94,688410057721000040
yuan2025,1,13721785531535628520
