0	0	0	75.1	140	185328
0	0	1	60.5	115	189761
0	0	2	69.2	133	194116
0	0	3	64.4	127	198812
0	0	4	77.1	155	204275
0	0	5	58.9	123	210319
0	0	6	59.2	127	216965
0	0	7	53.5	118	224314
0	0	8	66.4	149	230838
0	0	9	58.5	135	238113
0	0	10	53.8	128	243247
0	0	11	49.7	120	249398
0	0	12	42.2	107	254966
0	0	13	39.4	102	261113
0	0	14	45.7	118	268026
0	1	0	119.1	30	28833
0	1	1	105.5	26	30210
0	1	2	95.8	26	31761
0	1	3	100.2	28	33381
0	1	4	80.2	24	35055
0	1	5	89.0	28	36803
0	1	6	83.7	25	39059
0	1	7	51.0	18	41495
0	1	8	78.2	27	43824
0	1	9	51.7	19	46244
0	1	10	52.8	20	48332
0	1	11	49.0	21	50656
0	1	12	48.2	21	52933
0	1	13	66.5	30	55265
0	1	14	44.5	21	57742
1	0	0	70.7	726	1046632
1	0	1	75.3	786	1067051
1	0	2	70.9	751	1088013
1	0	3	68.1	735	1109030
1	0	4	61.1	667	1129836
1	0	5	61.3	684	1149819
1	0	6	59.8	672	1168798
1	0	7	59.5	680	1185609
1	0	8	54.7	631	1206281
1	0	9	51.2	609	1231258
1	0	10	50.6	615	1257309
1	0	11	43.2	538	1284921
1	0	12	43.3	545	1310765
1	0	13	45.3	582	1334001
1	0	14	43.1	568	1356110
1	1	0	102.2	254	300772
1	1	1	104.3	265	314074
1	1	2	99.6	261	329161
1	1	3	89.6	241	343378
1	1	4	92.9	269	357610
1	1	5	87.1	253	372850
1	1	6	85.3	265	388411
1	1	7	77.2	242	403390
1	1	8	82.1	274	418751
1	1	9	75.6	261	434213
1	1	10	71.3	270	453950
1	1	11	74.6	283	472883
1	1	12	63.0	251	491660
1	1	13	65.7	268	509636
1	1	14	61.8	266	528499
2	0	0	68.0	960	1512737
2	0	1	66.4	956	1549825
2	0	2	66.6	982	1589157
2	0	3	65.4	991	1630536
2	0	4	61.5	952	1670438
2	0	5	58.6	922	1713756
2	0	6	53.2	860	1758150
2	0	7	55.8	919	1799818
2	0	8	53.1	900	1842324
2	0	9	50.7	875	1887665
2	0	10	49.9	885	1935250
2	0	11	47.2	857	1983040
2	0	12	43.4	808	2028922
2	0	13	44.8	856	2071934
2	0	14	41.9	822	2111865
2	1	0	94.2	255	290756
2	1	1	103.7	286	300916
2	1	2	87.3	247	311164
2	1	3	92.8	265	321807
2	1	4	96.3	283	333571
2	1	5	88.8	267	346805
2	1	6	87.0	268	361114
2	1	7	75.0	243	375830
2	1	8	85.4	282	390275
2	1	9	78.1	265	405176
2	1	10	67.9	237	421392
2	1	11	70.6	255	437108
2	1	12	68.0	258	451751
2	1	13	66.8	262	466264
2	1	14	61.5	254	480327
3	0	0	83.9	481	566993
3	0	1	75.5	437	574596
3	0	2	78.3	454	583679
3	0	3	78.3	459	594233
3	0	4	76.6	455	605417
3	0	5	74.1	445	615284
3	0	6	67.7	408	626327
3	0	7	64.5	397	638367
3	0	8	66.5	417	650481
3	0	9	59.5	380	661966
3	0	10	70.6	452	672535
3	0	11	58.3	378	682631
3	0	12	59.4	391	689018
3	0	13	55.9	375	695564
3	0	14	66.3	447	699777
3	1	0	106.2	17	14360
3	1	1	88.2	14	14793
3	1	2	125.9	20	15089
3	1	3	84.3	13	15510
3	1	4	135.1	21	15936
3	1	5	112.9	19	16404
3	1	6	87.3	13	16835
3	1	7	74.5	11	17364
3	1	8	131.8	21	17964
3	1	9	83.9	14	18403
3	1	10	103.3	18	18920
3	1	11	64.2	10	19504
3	1	12	107.0	17	20000
3	1	13	72.7	13	20445
3	1	14	72.2	14	20926
