0	0	0	87.9	133	170406
0	0	1	84.1	137	179409
0	0	2	84.6	143	190188
0	0	3	65.1	125	202962
0	0	4	73.8	144	216520
0	0	5	67.9	141	228082
0	0	6	43.1	97	239769
0	1	0	128.6	26	25815
0	1	1	131.8	28	28475
0	1	2	97.3	26	31175
0	1	3	88.2	25	34893
0	1	4	58.0	17	39067
0	1	5	72.1	23	42970
0	1	6	48.8	20	47048
1	0	0	55.6	122	204683
1	0	1	53.3	123	213519
1	0	2	57.0	135	224406
1	0	3	46.9	120	238317
1	0	4	52.7	140	252431
1	0	5	38.4	107	264563
1	0	6	38.5	112	276310
1	1	0	99.3	30	33228
1	1	1	76.9	26	36667
1	1	2	73.8	26	40683
1	1	3	48.4	18	45661
1	1	4	69.3	29	51001
1	1	5	36.6	18	56018
1	1	6	61.8	31	61150
