0	0	0	59.2	1786	3076118
0	0	1	58.6	1789	3121996
0	0	2	57.6	1774	3170152
0	0	3	57.2	1785	3222212
0	0	4	57.7	1823	3281366
0	0	5	58.0	1864	3349782
0	0	6	56.6	1856	3423082
0	0	7	56.1	1881	3497614
0	0	8	53.9	1845	3567818
0	0	9	52.7	1838	3637354
0	0	10	50.5	1797	3703691
0	0	11	48.8	1773	3766947
0	0	12	49.8	1845	3824368
0	1	0	88.3	645	749942
0	1	1	88.7	653	769741
0	1	2	87.1	646	790578
0	1	3	90.2	674	813647
0	1	4	87.5	664	840023
0	1	5	90.5	701	870767
0	1	6	84.6	674	903778
0	1	7	88.1	721	938371
0	1	8	83.2	699	970323
0	1	9	82.9	714	1001873
0	1	10	76.3	669	1030753
0	1	11	76.4	691	1059517
0	1	12	77.5	713	1086314
1	0	0	70.5	129	292633
1	0	1	64.3	129	308378
1	0	2	59.8	129	326206
1	0	3	53.3	120	345227
1	0	4	51.9	115	364397
1	0	5	48.1	112	383392
1	0	6	52.8	126	401086
1	0	7	55.3	142	418119
1	0	8	52.7	143	435678
1	0	9	45.4	133	452191
1	0	10	39.3	122	468045
1	0	11	38.7	128	480496
1	0	12	39.0	137	489819
1	1	0	 	 	8452
1	1	1	 	 	9145
1	1	2	 	 	9872
1	1	3	 	 	10627
1	1	4	129.8	10	11403
1	1	5	 	 	12195
1	1	6	 	 	12997
1	1	7	 	 	13654
1	1	8	 	 	14416
1	1	9	 	 	15101
1	1	10	 	 	15988
1	1	11	 	 	17035
1	1	12	 	 	18206
2	0	0	60.0	2416	3980094
2	0	1	58.7	2422	4110236
2	0	2	59.4	2517	4244630
2	0	3	57.2	2490	4392618
2	0	4	56.2	2526	4563804
2	0	5	52.6	2447	4751483
2	0	6	52.8	2548	4937210
2	0	7	50.6	2516	5109181
2	0	8	47.9	2456	5265614
2	0	9	45.5	2409	5424160
2	0	10	44.7	2442	5579909
2	0	11	44.3	2507	5742358
2	0	12	42.8	2506	5901390
2	1	0	74.7	55	85841
2	1	1	70.8	53	91956
2	1	2	78.5	62	98835
2	1	3	80.8	68	106471
2	1	4	80.4	75	115383
2	1	5	69.4	70	125925
2	1	6	61.7	68	137255
2	1	7	59.4	67	148661
2	1	8	59.9	70	159599
2	1	9	65.1	81	171039
2	1	10	63.0	81	182275
2	1	11	68.6	92	193678
2	1	12	64.7	94	204327
3	0	0	69.7	1507	2129299
3	0	1	68.1	1485	2161140
3	0	2	67.2	1481	2191220
3	0	3	65.5	1458	2225570
3	0	4	63.5	1432	2264714
3	0	5	60.4	1383	2311109
3	0	6	57.5	1340	2360798
3	0	7	58.1	1378	2409965
3	0	8	57.7	1393	2454353
3	0	9	58.7	1440	2497214
3	0	10	58.2	1449	2538985
3	0	11	58.2	1473	2578240
3	0	12	57.2	1479	2613671
3	1	0	100.0	256	249115
3	1	1	100.0	256	255672
3	1	2	101.7	260	262454
3	1	3	101.1	259	270469
3	1	4	94.4	244	279478
3	1	5	86.9	227	290253
3	1	6	92.6	249	301291
3	1	7	99.3	272	313353
3	1	8	99.6	281	323976
3	1	9	88.6	257	334932
3	1	10	82.6	247	344825
3	1	11	77.5	237	354941
3	1	12	79.0	244	364185
4	0	0	61.3	12272	20197016
4	0	1	60.2	12248	20676317
4	0	2	59.3	12271	21167818
4	0	3	57.5	12080	21648834
4	0	4	55.9	11931	22135389
4	0	5	54.1	11718	22585407
4	0	6	52.8	11639	23059138
